Nomor,Kabupaten,Latitude,Longitude,Status,Dimensi,File
TEBO-TEBO TENGAH-BEDARO RAMPAK-003,TEBO,-1.46045,102.44289,RESOLUSI RENDAH,477x559,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-TEBO TENGAH-BEDARO RAMPAK-003.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-001,BATANG HARI,-1.56049,103.42972,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-001.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-002,BATANG HARI,-1.56117,103.42535,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-002.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-003,BATANG HARI,-1.56128,103.42146,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-003.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-004,BATANG HARI,-1.56144,103.42243,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-004.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-005,BATANG HARI,-1.56395,103.42296,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-005.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-006,BATANG HARI,-1.56395,103.42296,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-006.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-007,BATANG HARI,-1.56633,103.42276,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-007.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-008,BATANG HARI,-1.56712,103.42244,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-008.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-009,BATANG HARI,-1.56845,103.42215,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-009.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-010,BATANG HARI,-1.5704,103.42202,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-010.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-011,BATANG HARI,-1.57124,103.42299,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-011.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-012,BATANG HARI,-1.57316,103.42425,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-012.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-013,BATANG HARI,-1.58388,103.42684,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-013.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-014,BATANG HARI,-1.56094,103.42049,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-014.jpg
BATANG HARI-PEMAYUNG-PULAU BETUNG-015,BATANG HARI,-1.56134,103.41836,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-PULAU BETUNG-015.jpg
BATANG HARI-PEMAYUNG-TELUK KETAPANG-001,BATANG HARI,-1.55318,103.37842,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TELUK KETAPANG-001.jpg
BATANG HARI-PEMAYUNG-TELUK KETAPANG-002,BATANG HARI,-1.55242,103.36575,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TELUK KETAPANG-002.jpg
BATANG HARI-PEMAYUNG-TELUK KETAPANG-003,BATANG HARI,-1.54786,103.37227,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TELUK KETAPANG-003.jpg
BATANG HARI-PEMAYUNG-TURE-001,BATANG HARI,-1.55309,103.4023,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-001.jpg
BATANG HARI-PEMAYUNG-TURE-002,BATANG HARI,-1.56185,103.41712,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-002.jpg
BATANG HARI-PEMAYUNG-TURE-003,BATANG HARI,-1.56183,103.41593,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-003.jpg
BATANG HARI-PEMAYUNG-TURE-004,BATANG HARI,-1.56092,103.4142,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-004.jpg
BATANG HARI-PEMAYUNG-TURE-005,BATANG HARI,-1.55841,103.40916,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-005.jpg
BATANG HARI-PEMAYUNG-TURE-006,BATANG HARI,-1.55741,103.4083,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-006.jpg
BATANG HARI-PEMAYUNG-TURE-007,BATANG HARI,-1.55418,103.40484,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-007.jpg
BATANG HARI-PEMAYUNG-TURE-008,BATANG HARI,-1.55274,103.4037,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-008.jpg
BATANG HARI-PEMAYUNG-TURE-009,BATANG HARI,-1.55166,103.40273,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-009.jpg
BATANG HARI-PEMAYUNG-TURE-010,BATANG HARI,-1.55215,103.39913,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_BATANG HARI-PEMAYUNG-TURE-010.jpg
JAMBI-KOTA BARU-KENALI ASAM ATAS-002,JAMBI,-1.646821,103.60527,THUMBNAIL,210x166,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_JAMBI-KOTA BARU-KENALI ASAM ATAS-002.jpg
KOTA JAMBI-ALAM BARAJO-BAGAN PETE-001,KOTA JAMBI,-1.650502,103.55947,THUMBNAIL,302x240,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-ALAM BARAJO-BAGAN PETE-001.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-001,KOTA JAMBI,-1.58688,103.6299,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-001.jpg
KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-002,KOTA JAMBI,-1.58651,103.63131,THUMBNAIL,210x165,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-JAMBI TIMUR-KASANG JAYA-002.jpg
