No;Jarak (m);Pita;Nomor A;Nomor B;Kabupaten;Kecamatan;Desa/Kelurahan;Lon A;Lat A;Lon B;Lat B;Tanggal A;Tanggal B;Pengusul;Foto A;Foto B;Foto Identik;Status Koordinat;Keputusan;Catatan Petugas
89;48.0;30-50 m;SAROLANGUN-SINGKUT-PAYO LEBAR-003;SAROLANGUN-SINGKUT-PAYO LEBAR-004;SAROLANGUN;SINGKUT;PAYO LEBAR;102.7238306;-2.479888889;102.7237417;-2.480313889;09/07/2026;09/07/2026;Ridwan;SAROLANGUN-SINGKUT-PAYO LEBAR-003.jpg;SAROLANGUN-SINGKUT-PAYO LEBAR-004.jpg;tidak;kedua koordinat sah;;
90;48.2;30-50 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-002;SAROLANGUN-BATANG ASAI-BATU EMPANG-009;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.234529;-2.627306;102.234956;-2.62723;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-002.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-009.jpg;tidak;kedua koordinat sah;;
91;48.3;30-50 m;TEBO-VII KOTO-TELUK KAYU PUTIH-001;TEBO-VII KOTO-TELUK KAYU PUTIH-002;TEBO;VII KOTO;TELUK KAYU PUTIH;101.99115;-1.17019;101.99138;-1.17056;26/02/2026;26/02/2026;Muthsaharudin;TEBO-VII KOTO-TELUK KAYU PUTIH-001.jpg;TEBO-VII KOTO-TELUK KAYU PUTIH-002.jpg;tidak;kedua koordinat sah;;
92;48.5;30-50 m;MERANGIN-PAMENANG-REJO SARI-001;MERANGIN-PAMENANG-REJO SARI-002;MERANGIN;PAMENANG;REJO SARI;102.49671;-2.16661;102.49714;-2.16654;27/02/2026;27/02/2026;Buya Syaparudin;MERANGIN-PAMENANG-REJO SARI-001.jpg;MERANGIN-PAMENANG-REJO SARI-002.jpg;tidak;kedua koordinat sah;;
93;48.8;30-50 m;MERANGIN-TIANG PUMPUNG-SEKANCING-022;MERANGIN-TIANG PUMPUNG-SEKANCING-023;MERANGIN;TIANG PUMPUNG;SEKANCING;102.180588;-2.253273;102.180487;-2.252843;28/06/2026;28/06/2026;Gubernur Jambi;MERANGIN-TIANG PUMPUNG-SEKANCING-022.jpg;MERANGIN-TIANG PUMPUNG-SEKANCING-023.jpg;tidak;kedua koordinat sah;;
94;48.9;30-50 m;KOTA JAMBI-KOTA BARU-RAWA SARI-001;KOTA JAMBI-KOTA BARU-RAWA SARI-011;KOTA JAMBI;KOTA BARU;RAWA SARI;103.568173;-1.620498;103.56784;-1.62021;26/06/2026;25/06/2026;Gubernur Jambi;KOTA JAMBI-KOTA BARU-RAWA SARI-001.jpg;KOTA JAMBI-KOTA BARU-RAWA SARI-011.png;tidak;kedua koordinat sah;;
95;49.0;30-50 m;TANJUNG JABUNG TIMUR-KUALA JAMBI-MAJELIS HIDAYAH-001;TANJUNG JABUNG TIMUR-KUALA JAMBI-MAJELIS HIDAYAH-002;TANJUNG JABUNG TIMUR;KUALA JAMBI;MAJELIS HIDAYAH;103.808;-1.04889;103.80795;-1.04845;11/06/2026;11/06/2026;Gubernur Jambi;TANJUNG JABUNG TIMUR-KUALA JAMBI-MAJELIS HIDAYAH-001.jpg;TANJUNG JABUNG TIMUR-KUALA JAMBI-MAJELIS HIDAYAH-002.jpg;tidak;kedua koordinat sah;;
96;49.1;30-50 m;TEBO-MUARA TABIR-PINTAS TUO-007;TEBO-MUARA TABIR-PINTAS TUO-008;TEBO;MUARA TABIR;PINTAS TUO;102.55072;-1.65495;102.550372;-1.654677;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-PINTAS TUO-007.jpg;TEBO-MUARA TABIR-PINTAS TUO-008.jpg;tidak;kedua koordinat sah;;
97;49.3;30-50 m;MERANGIN-TIANG PUMPUNG-SEKANCING-019;MERANGIN-TIANG PUMPUNG-SEKANCING-029;MERANGIN;TIANG PUMPUNG;SEKANCING;102.185288;-2.256433;102.185592;-2.256757;28/06/2026;29/06/2026;Gubernur Jambi;MERANGIN-TIANG PUMPUNG-SEKANCING-019.jpg;MERANGIN-TIANG PUMPUNG-SEKANCING-029.jpg;tidak;kedua koordinat sah;;
98;49.3;30-50 m;KOTA JAMBI-KOTA BARU-KENALI BESAR-006;KOTA JAMBI-KOTA BARU-KENALI BESAR-008;KOTA JAMBI;KOTA BARU;KENALI BESAR;103.542243;-1.630748;103.542007;-1.631125;26/06/2026;26/06/2026;Gubernur Jambi;KOTA JAMBI-KOTA BARU-KENALI BESAR-006.jpg;KOTA JAMBI-KOTA BARU-KENALI BESAR-008.jpg;tidak;kedua koordinat sah;;
99;49.6;30-50 m;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-001;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-002;TANJUNG JABUNG TIMUR;MUARA SABAK TIMUR;MUARA SABAK ILIR;103.85089;-1.12494;103.85123;-1.12465;03/08/2026;03/08/2026;Yudhi (NasDem);TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-001.jpg;TANJUNG JABUNG TIMUR-MUARA SABAK TIMUR-MUARA SABAK ILIR-002.jpg;tidak;kedua koordinat sah;;
100;49.7;30-50 m;KOTA JAMBI-TELANAIPURA-TELANAIPURA-002;KOTA JAMBI-TELANAIPURA-TELANAIPURA-005;KOTA JAMBI;TELANAIPURA;TELANAIPURA;103.57677;-1.60533;103.57637;-1.60553;26/06/2026;26/06/2026;Gubernur Jambi;KOTA JAMBI-TELANAIPURA-TELANAIPURA-002.png;KOTA JAMBI-TELANAIPURA-TELANAIPURA-005.png;tidak;kedua koordinat sah;;
101;49.7;30-50 m;TEBO-MUARA TABIR-EMBACANG GEDANG-003;TEBO-MUARA TABIR-EMBACANG GEDANG-006;TEBO;MUARA TABIR;EMBACANG GEDANG;102.51943;-1.6498;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-003.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-006.jpg;tidak;kedua koordinat sah;;
102;49.7;30-50 m;TEBO-MUARA TABIR-EMBACANG GEDANG-003;TEBO-MUARA TABIR-EMBACANG GEDANG-007;TEBO;MUARA TABIR;EMBACANG GEDANG;102.51943;-1.6498;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-003.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-007.jpg;tidak;salah satu menunggu ukur ulang;;
103;49.7;30-50 m;TEBO-MUARA TABIR-EMBACANG GEDANG-003;TEBO-MUARA TABIR-EMBACANG GEDANG-008;TEBO;MUARA TABIR;EMBACANG GEDANG;102.51943;-1.6498;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-003.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-008.jpg;tidak;salah satu menunggu ukur ulang;;
104;49.7;30-50 m;TEBO-MUARA TABIR-EMBACANG GEDANG-003;TEBO-MUARA TABIR-EMBACANG GEDANG-009;TEBO;MUARA TABIR;EMBACANG GEDANG;102.51943;-1.6498;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-003.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-009.jpg;tidak;salah satu menunggu ukur ulang;;
105;49.7;30-50 m;TEBO-MUARA TABIR-EMBACANG GEDANG-003;TEBO-MUARA TABIR-EMBACANG GEDANG-010;TEBO;MUARA TABIR;EMBACANG GEDANG;102.51943;-1.6498;102.519275;-1.650222;03/06/2026;03/06/2026;Mazlan, S.Kom., M.E.;TEBO-MUARA TABIR-EMBACANG GEDANG-003.jpg;TEBO-MUARA TABIR-EMBACANG GEDANG-010.jpg;tidak;salah satu menunggu ukur ulang;;
106;49.8;30-50 m;MERANGIN-TIANG PUMPUNG-SEKANCING-013;MERANGIN-TIANG PUMPUNG-SEKANCING-014;MERANGIN;TIANG PUMPUNG;SEKANCING;102.186595;-2.256975;102.18649;-2.256537;28/06/2026;28/06/2026;Gubernur Jambi;MERANGIN-TIANG PUMPUNG-SEKANCING-013.jpg;MERANGIN-TIANG PUMPUNG-SEKANCING-014.jpg;tidak;kedua koordinat sah;;
